"source","sample_name","lab_dup","field_sample_date","lab_analysis_date","parameter","val_ppb","detection_note","strata","waterbody"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Surface","b",2021-10-07,2021-10-13,"rotenone_ppb",26.83,NA,"Surface","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Surface","b",2021-10-07,2021-10-13,"rotenolone_ppb",14.95,NA,"Surface","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Surface","b",2021-10-07,2021-10-13,"deguelin_ppb",21.7,NA,"Surface","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Surface","b",2021-10-07,2021-10-13,"tephrosin_ppb",NA,"Detected","Surface","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Surface","b",2021-10-07,2021-10-13,"cft_5",NA,"Detected","Surface","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Surface","b",2021-10-07,2021-10-13,"cft_6",NA,"Detected","Surface","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Benthic","a",2021-10-07,2021-10-13,"rotenone_ppb",13.67,NA,"Benthic","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Benthic","a",2021-10-07,2021-10-13,"rotenolone_ppb",7.33,NA,"Benthic","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Benthic","a",2021-10-07,2021-10-13,"deguelin_ppb",10.89,NA,"Benthic","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Benthic","a",2021-10-07,2021-10-13,"tephrosin_ppb",NA,"Detected","Benthic","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Benthic","a",2021-10-07,2021-10-13,"cft_5",NA,"Detected","Benthic","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Benthic","a",2021-10-07,2021-10-13,"cft_6",NA,"Detected","Benthic","N_Vogel_Lake"
