date,time,parameter2
27.06.2021,2:45,14.6
27.06.2021,3:00,14.6
27.06.2021,3:15,14.6
27.06.2021,3:30,14.5
27.06.2021,3:45,14.5
27.06.2021,4:00,14.5
27.06.2021,4:15,14.4
27.06.2021,4:30,14.4
27.06.2021,4:45,14.4
27.06.2021,5:00,14.3
27.06.2021,5:15,14.3
27.06.2021,5:30,14.3
27.06.2021,5:45,14.2
27.06.2021,6:00,14.2
27.06.2021,6:15,14.2
27.06.2021,6:30,14.1
27.06.2021,6:45,14.1
27.06.2021,7:00,14.1
27.06.2021,7:15,14.1
27.06.2021,7:30,14
27.06.2021,7:45,14
27.06.2021,8:00,14
27.06.2021,8:15,14
27.06.2021,8:30,14
27.06.2021,8:45,14
27.06.2021,9:00,14
27.06.2021,9:15,14
27.06.2021,9:30,14
27.06.2021,9:45,14
27.06.2021,10:00,14.1
27.06.2021,10:15,14.1
27.06.2021,10:30,14.1
27.06.2021,10:45,14.1
27.06.2021,11:00,14.1
27.06.2021,11:15,14.2
27.06.2021,11:30,14.2
27.06.2021,11:45,14.3
27.06.2021,12:00,14.3
27.06.2021,12:15,14.4
27.06.2021,12:30,14.4
27.06.2021,12:45,14.5
27.06.2021,13:00,14.5
27.06.2021,13:15,14.6
27.06.2021,13:30,14.6
27.06.2021,13:45,14.7
27.06.2021,14:00,14.7
27.06.2021,14:15,14.8
27.06.2021,14:30,14.8
27.06.2021,14:45,14.9
27.06.2021,15:00,15
27.06.2021,15:15,15
27.06.2021,15:30,15.1
27.06.2021,15:45,15.2
27.06.2021,16:00,15.3
27.06.2021,16:15,15.4
27.06.2021,16:30,15.5
27.06.2021,16:45,15.6
27.06.2021,17:00,15.7
27.06.2021,17:15,15.7
27.06.2021,17:30,15.8
27.06.2021,17:45,15.9
27.06.2021,18:00,15.9
27.06.2021,18:15,16
27.06.2021,18:30,16
27.06.2021,18:45,16.1
27.06.2021,19:00,16.1
27.06.2021,19:15,16.1
27.06.2021,19:30,16.1
27.06.2021,19:45,16.1
27.06.2021,20:00,16.1
27.06.2021,20:15,16.1
27.06.2021,20:30,16.2
27.06.2021,20:45,16.2
27.06.2021,21:00,16.2
27.06.2021,21:15,16.2
27.06.2021,21:30,16.2
27.06.2021,21:45,16.2
27.06.2021,22:00,16.2
27.06.2021,22:15,16.2
27.06.2021,22:30,16.2
27.06.2021,22:45,16.1
27.06.2021,23:00,16.1
27.06.2021,23:15,16.1
27.06.2021,23:30,16.1
27.06.2021,23:45,16
28.06.2021,0:00,16
28.06.2021,0:15,16
28.06.2021,0:30,15.9
28.06.2021,0:45,15.9
28.06.2021,1:00,15.9
28.06.2021,1:15,15.8
28.06.2021,1:30,15.8
28.06.2021,1:45,15.8
28.06.2021,2:00,15.7
28.06.2021,2:15,15.7
28.06.2021,2:30,15.6
28.06.2021,2:45,15.6
28.06.2021,3:00,15.6
28.06.2021,3:15,15.5
28.06.2021,3:30,15.5
28.06.2021,3:45,15.4
28.06.2021,4:00,15.4
28.06.2021,4:15,15.3
28.06.2021,4:30,15.3
28.06.2021,4:45,15.3
28.06.2021,5:00,15.2
28.06.2021,5:15,15.2
28.06.2021,5:30,15.2
28.06.2021,5:45,15.1
28.06.2021,6:00,15.1
28.06.2021,6:15,15.1
28.06.2021,6:30,15.1
28.06.2021,6:45,15
28.06.2021,7:00,15
28.06.2021,7:15,15
28.06.2021,7:30,15
28.06.2021,7:45,15
28.06.2021,8:00,15
28.06.2021,8:15,14.9
28.06.2021,8:30,14.9
28.06.2021,8:45,14.9
28.06.2021,9:00,14.9
28.06.2021,9:15,14.9
28.06.2021,9:30,14.9
28.06.2021,9:45,14.9
28.06.2021,10:00,14.9
28.06.2021,10:15,14.9
28.06.2021,10:30,14.9
28.06.2021,10:45,15
28.06.2021,11:00,15
28.06.2021,11:15,15
28.06.2021,11:30,15
28.06.2021,11:45,15
28.06.2021,12:00,15
28.06.2021,12:15,15
28.06.2021,12:30,15
28.06.2021,12:45,15
28.06.2021,13:00,15
28.06.2021,13:15,15
28.06.2021,13:30,15
28.06.2021,13:45,15.1
28.06.2021,14:00,15.1
28.06.2021,14:15,15.1
28.06.2021,14:30,15.1
28.06.2021,14:45,15.1
28.06.2021,15:00,15.1
28.06.2021,15:15,15.2
28.06.2021,15:30,15.2
28.06.2021,15:45,15.2
28.06.2021,16:00,15.3
28.06.2021,16:15,15.3
28.06.2021,16:30,15.4
28.06.2021,16:45,15.4
28.06.2021,17:00,15.5
28.06.2021,17:15,15.5
28.06.2021,17:30,15.5
28.06.2021,17:45,15.6
28.06.2021,18:00,15.6
28.06.2021,18:15,15.7
28.06.2021,18:30,15.7
28.06.2021,18:45,15.7
28.06.2021,19:00,15.8
28.06.2021,19:15,15.8
28.06.2021,19:30,15.8
28.06.2021,19:45,15.8
28.06.2021,20:00,15.9
28.06.2021,20:15,15.9
28.06.2021,20:30,15.9
28.06.2021,20:45,15.9
28.06.2021,21:00,15.9
28.06.2021,21:15,15.9
28.06.2021,21:30,15.9
28.06.2021,21:45,15.9
28.06.2021,22:00,15.9
28.06.2021,22:15,15.9
28.06.2021,22:30,15.9
28.06.2021,22:45,15.9
28.06.2021,23:00,15.9
28.06.2021,23:15,15.9
28.06.2021,23:30,15.9
28.06.2021,23:45,15.8
29.06.2021,0:00,15.8
29.06.2021,0:15,15.8
