MiniSonde 46440,,,,,,,
Log File Name : Vogel_Lake_Outlet_2022_46440,,,,,,,
Setup Date (M/D/YYYY) : 6/17/2022,,,,,,,
Setup Time (HH:MM:SS) : 13:04:07,,,,,,,
Starting Date (M/D/YYYY) : 6/17/2022,,,,,,,
Starting Time (HH:MM:SS) : 15:00:00,,,,,,,
Stopping Date (M/D/YYYY) : 9/15/2022,,,,,,,
Stopping Time (HH:MM:SS) : 12:00:00,,,,,,,
Interval (HH:MM:SS) : 01:00:00,,,,,,,
Sensor warmup (HH:MM:SS) : 00:00:30,,,,,,,
Circltr warmup (HH:MM:SS) : 00:00:30,,,,,,,
,,,,,,,
Date,Time,Temp,SpCond,TurbSC,LDO,pH,
M/D/YYYY,HH:MM:SS,?C,?S/cm,NTU,mg/l,Units,LoggerID
,,,,,,,
6/29/2022,12:00:00,20.4,75,0,8.72,7.11,46440
6/29/2022,13:00:00,20.67,76,0,8.72,7.13,46440
6/29/2022,14:00:00,20.91,76,0,8.86,7.17,46440
6/29/2022,15:00:00,21.12,75,0,9,7.2,46440
6/29/2022,16:00:00,21.39,76,0,9.07,7.22,46440
6/29/2022,17:00:00,21.49,76,0,9.12,7.24,46440
6/29/2022,18:00:00,21.43,75,0,9.13,7.2,46440
6/29/2022,19:00:00,21.32,76,0,9.17,7.14,46440
6/29/2022,20:00:00,21.31,76,0,9.19,7.16,46440
6/29/2022,21:00:00,21.27,76,0,9.16,7.19,46440
6/29/2022,22:00:00,21.28,76,0,9.13,7.18,46440
6/29/2022,23:00:00,21.38,75,0,9.3,7.23,46440
6/30/2022,0:00:00,21.25,76,0,9.19,7.27,46440
6/30/2022,1:00:00,21.11,76,0,9.18,7.21,46440
6/30/2022,2:00:00,20.96,76,0,9.27,7.1,46440
6/30/2022,3:00:00,20.81,76,0,9.02,6.98,46440
6/30/2022,4:00:00,20.64,76,0,8.95,6.94,46440
6/30/2022,5:00:00,20.44,76,0,8.66,6.88,46440
6/30/2022,6:00:00,20.25,76,0,8.68,6.94,46440
6/30/2022,7:00:00,20.14,76,0,8.78,7.02,46440
6/30/2022,8:00:00,20.03,76,0,0,7.04,46440
6/30/2022,9:00:00,20.07,76,0,8.84,7.13,46440
6/30/2022,10:00:00,20.12,76,0,8.84,7.1,46440
6/30/2022,11:00:00,20.33,76,0,8.81,7.16,46440
6/30/2022,12:00:00,20.6,76,0,8.85,7.22,46440
6/30/2022,13:00:00,20.84,76,0,8.88,7.27,46440
6/30/2022,14:00:00,21.06,75,0,8.94,7.36,46440
6/30/2022,15:00:00,21.21,76,0,9.03,7.39,46440
6/30/2022,16:00:00,21.3,76,0,9.01,7.4,46440
6/30/2022,17:00:00,21.4,76,0,9.04,7.4,46440
6/30/2022,18:00:00,21.46,76,0,9.21,7.19,46440
6/30/2022,19:00:00,21.46,76,0,9.11,7.22,46440
6/30/2022,20:00:00,21.47,76,0,9.23,7.2,46440
6/30/2022,21:00:00,21.46,76,0,9.91,7.13,46440
6/30/2022,22:00:00,21.44,76,0,9.4,7.14,46440
6/30/2022,23:00:00,21.34,76,0,9.36,7.09,46440
7/1/2022,0:00:00,21.21,76,0,9.39,7.01,46440
7/1/2022,1:00:00,21.03,76,0,9.27,6.97,46440
7/1/2022,2:00:00,20.9,76,0,9.17,6.94,46440
7/1/2022,3:00:00,20.77,76,0,9.12,6.9,46440
7/1/2022,4:00:00,20.64,76,0,9.12,6.89,46440
7/1/2022,5:00:00,20.47,76,0,8.88,6.85,46440
7/1/2022,6:00:00,20.28,76,0,8.61,6.79,46440
7/1/2022,7:00:00,20.16,77,0,8.48,6.76,46440
7/1/2022,8:00:00,20.11,77,0,8.18,6.72,46440
7/1/2022,9:00:00,20.1,77,0,7.97,6.71,46440
7/1/2022,10:00:00,20.17,77,0,7.96,6.74,46440
7/1/2022,11:00:00,20.36,76,0,8.16,6.79,46440
7/1/2022,12:00:00,20.61,77,0,8.36,6.87,46440
7/1/2022,13:00:00,20.95,76,0,8.43,7.04,46440
7/1/2022,14:00:00,21.3,76,0,8.4,7.13,46440
7/1/2022,15:00:00,21.65,76,0,8.51,7.24,46440
7/1/2022,16:00:00,21.84,76,0,8.56,7.24,46440
7/1/2022,17:00:00,22,76,0,8.51,7.28,46440
7/1/2022,18:00:00,22.11,76,0,8.73,7.35,46440
7/1/2022,19:00:00,22.21,76,0,8.74,7.37,46440
7/1/2022,20:00:00,22.3,76,0,8.81,7.37,46440
7/1/2022,21:00:00,22.39,76,0,8.83,7.43,46440
7/1/2022,22:00:00,22.41,76,0,8.68,7.43,46440
7/1/2022,23:00:00,22.37,76,0,8.82,7.37,46440
7/2/2022,0:00:00,22.23,76,0,8.72,7.4,46440
7/2/2022,1:00:00,22.04,76,0,8.75,7.31,46440
7/2/2022,2:00:00,21.85,76,0,8.57,7.27,46440
7/2/2022,3:00:00,21.63,76,0,8.38,7.17,46440
7/2/2022,4:00:00,21.41,76,0,8.4,7.15,46440
7/2/2022,5:00:00,21.16,76,0,8.3,7.1,46440
