HYDROLAB MS5 65979,,,,,,,
Log File Name : Vodel_Lake_Outlet_2022_65979,,,,,,,
Setup Date (M/D/YYYY) : 6/17/2022,,,,,,,
Setup Time (HH:MM:SS) : 13:10:27,,,,,,,
Starting Date (M/D/YYYY) : 6/17/2022,,,,,,,
Starting Time (HH:MM:SS) : 15:00:00,,,,,,,
Stopping Date (M/D/YYYY) : 9/15/2022,,,,,,,
Stopping Time (HH:MM:SS) : 12:00:00,,,,,,,
Interval (HH:MM:SS) : 01:00:00,,,,,,,
Sensor warmup (HH:MM:SS) : 00:00:30,,,,,,,
Circltr warmup (HH:MM:SS) : 00:00:30,,,,,,,
,,,,,,,
Date,Time,Temp,pH,SpCond,TurbSC,LDO,
M/D/YYYY,HH:MM:SS,?C,Units,?S/cm,NTU,mg/l,LoggerID
,,,,,,,
7/1/2022,7:00:00,20.26,6.9,80,56.4,0,65979
7/1/2022,8:00:00,20.19,6.9,80,56.3,0,65979
7/1/2022,9:00:00,20.2,6.91,80,56.2,0,65979
7/1/2022,10:00:00,20.26,6.93,80,56.2,0,65979
7/1/2022,11:00:00,20.32,6.96,80,56.1,0,65979
7/1/2022,12:00:00,20.5,6.98,81,56.2,0,65979
7/1/2022,13:00:00,20.76,6.98,81,56.3,0,65979
7/1/2022,14:00:00,21.15,7.02,80,56.5,0,65979
7/1/2022,15:00:00,21.45,7.11,80,56.6,0,65979
7/1/2022,16:00:00,21.64,7.14,80,56.9,0,65979
7/1/2022,17:00:00,21.92,7.21,80,56.9,0,65979
7/1/2022,18:00:00,22.06,7.33,80,56.9,0,65979
7/1/2022,19:00:00,22.19,7.43,80,56.9,0,65979
7/1/2022,20:00:00,22.3,7.46,80,56.9,0,65979
7/1/2022,21:00:00,22.32,7.55,80,56.9,0,65979
7/1/2022,22:00:00,22.39,7.49,80,56.8,0,65979
7/1/2022,23:00:00,22.45,7.49,80,56.8,0,65979
7/2/2022,0:00:00,22.31,7.55,80,56.7,0,65979
7/2/2022,1:00:00,22.13,7.47,80,56.5,0,65979
7/2/2022,2:00:00,21.95,7.4,79,56.3,0,65979
7/2/2022,3:00:00,21.73,7.35,80,56,0,65979
7/2/2022,4:00:00,21.51,7.31,80,55.9,0,65979
7/2/2022,5:00:00,21.27,7.26,80,55.6,0,65979
7/2/2022,6:00:00,21.07,7.2,80,55.4,0,65979
7/2/2022,7:00:00,20.89,7.19,80,55.1,0,65979
7/2/2022,8:00:00,20.83,7.22,80,55,0,65979
7/2/2022,9:00:00,20.84,7.19,80,54.9,0,65979
7/2/2022,10:00:00,20.86,7.23,80,54.7,0,65979
7/2/2022,11:00:00,20.94,7.18,80,54.6,0,65979
7/2/2022,12:00:00,21.13,7.17,80,54.4,0,65979
7/2/2022,13:00:00,21.56,7.18,80,54.5,0,65979
7/2/2022,14:00:00,21.8,7.21,80,54.4,0,65979
