Hydrolab MS5 47418
"Log File Name : Miller_Creek_Buoy_47418_20210701"
"Setup Date (M/D/YYYY) : 7/1/2021"
"Setup Time (HH:MM:SS) : 11:01:45"
"Starting Date (M/D/YYYY) : 7/1/2021"
"Starting Time (HH:MM:SS) : 11:00:00"
"Stopping Date (M/D/YYYY) : 10/1/2021"
"Stopping Time (HH:MM:SS) : 11:00:00"
"Interval (HH:MM:SS) : 01:00:00"
"Sensor warmup (HH:MM:SS) : 00:00:45"
"Circltr warmup (HH:MM:SS) : 00:00:45"

"Date","Time","","Temp","","pH","","SpCond","","TurbSC","","LDO",""
"M/D/YYYY","HH:MM:SS","","°C","","Units","","µS/cm","","NTU","","mg/l",""

7/10/2021,00:00:00,"","16.69","","8.15","","78","","0.0","","0.10",""
7/10/2021,01:00:00,"","16.59","","8.14","","78","","0.0","","0.09",""
7/10/2021,02:00:00,"","16.51","","8.13","","78","","0.0","","0.09",""
7/10/2021,03:00:00,"","16.43","","8.12","","78","","0.0","","0.09",""
7/10/2021,04:00:00,"","16.34","","8.13","","78","","0.0","","0.09",""
7/10/2021,05:00:00,"","16.18","","8.12","","78","","0.0","","0.08",""
7/10/2021,06:00:00,"","16.05","","8.10","","78","","0.0","","0.08",""
7/10/2021,07:00:00,"","15.91","","8.09","","78","","0.0","","0.08",""
7/10/2021,08:00:00,"","15.75","","8.06","","78","","0.0","","0.08",""
7/10/2021,09:00:00,"","15.58","","8.04","","78","","0.0","","0.07",""
7/10/2021,10:00:00,"","15.48","","8.05","","78","","0.0","","0.07",""
7/10/2021,11:00:00,"","15.42","","8.06","","78","","0.0","","0.07",""
7/10/2021,12:00:00,"","15.38","","8.07","","78","","0.0","","0.07",""
7/10/2021,13:00:00,"","15.33","","8.08","","78","","0.0","","0.07",""
7/10/2021,14:00:00,"","15.28","","8.08","","78","","0.0","","0.07",""
7/10/2021,15:00:00,"","15.24","","8.09","","78","","0.0","","0.06",""
7/10/2021,16:00:00,"","15.17","","8.10","","77","","0.0","","0.06",""
7/10/2021,17:00:00,"","15.13","","8.12","","78","","0.0","","0.06",""
7/10/2021,18:00:00,"","15.09","","8.14","","77","","0.0","","0.06",""
7/10/2021,19:00:00,"","15.08","","8.12","","77","","0.0","","0.06",""
