Mini Sonde 5 64819
"Log File Name : Vogel_Lake_64819"
"Setup Date (M/D/YYYY) : 5/27/2021"
"Setup Time (HH:MM:SS) : 10:24:42"
"Starting Date (M/D/YYYY) : 5/27/2021"
"Starting Time (HH:MM:SS) : 12:00:00"
"Stopping Date (M/D/YYYY) : 9/27/2021"
"Stopping Time (HH:MM:SS) : 12:00:00"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","pH","","SpCond","","TurbSC","","LDO","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","Units","","µS/cm","","NTU","","mg/l","","%Left",""

5/29/2021,04:30:00,"","13.65","","7.27","","74","","0.0","","9.42","","0",""
5/29/2021,04:45:00,"","13.64","","7.27","","74","","0.0","","9.42","","0",""
5/29/2021,05:00:00,"","13.64","","7.29","","74","","0.0","","9.45","","0",""
5/29/2021,05:15:00,"","13.63","","7.29","","74","","0.0","","9.46","","0",""
5/29/2021,05:30:00,"","13.62","","7.30","","74","","0.0","","9.51","","0",""
5/29/2021,05:45:00,"","13.62","","7.29","","74","","0.0","","9.42","","0",""
5/29/2021,06:00:00,"","13.61","","7.28","","74","","0.0","","9.40","","0",""
5/29/2021,06:15:00,"","13.62","","7.29","","74","","0.0","","9.52","","0",""
5/29/2021,06:30:00,"","13.61","","7.30","","74","","0.0","","9.54","","0",""
5/29/2021,06:45:00,"","13.59","","7.31","","74","","0.0","","9.55","","0",""
5/29/2021,07:00:00,"","13.60","","7.31","","74","","0.0","","9.50","","0",""
5/29/2021,07:15:00,"","13.58","","7.31","","74","","0.0","","9.51","","0",""
5/29/2021,07:30:00,"","13.56","","7.32","","74","","0.0","","9.54","","0",""
5/29/2021,07:45:00,"","13.57","","7.31","","74","","0.0","","9.46","","0",""
5/29/2021,08:00:00,"","13.56","","7.32","","74","","0.0","","9.53","","0",""
5/29/2021,08:15:00,"","13.56","","7.32","","74","","0.0","","9.54","","0",""
5/29/2021,08:30:00,"","13.57","","7.29","","74","","0.0","","9.61","","0",""
5/29/2021,08:45:00,"","13.55","","7.32","","74","","0.0","","9.60","","0",""
5/29/2021,09:00:00,"","13.53","","7.31","","74","","0.0","","9.58","","0",""
5/29/2021,09:15:00,"","13.50","","7.33","","74","","0.0","","9.54","","0",""
5/29/2021,09:30:00,"","13.50","","7.28","","74","","0.0","","9.53","","0",""
5/29/2021,09:45:00,"","13.49","","7.29","","74","","0.0","","9.53","","0",""
5/29/2021,10:00:00,"","13.46","","7.28","","74","","0.0","","9.49","","0",""
5/29/2021,10:15:00,"","13.47","","7.24","","74","","0.0","","9.45","","0",""
5/29/2021,10:30:00,"","13.46","","7.25","","74","","0.0","","9.49","","0",""
5/29/2021,10:45:00,"","13.44","","7.22","","74","","0.0","","9.39","","0",""
5/29/2021,11:00:00,"","13.45","","7.26","","74","","0.0","","9.46","","0",""
5/29/2021,11:15:00,"","13.47","","7.24","","74","","0.0","","9.42","","0",""
5/29/2021,11:30:00,"","13.48","","7.28","","74","","0.0","","9.43","","0",""
5/29/2021,11:45:00,"","13.48","","7.25","","74","","0.0","","9.46","","0",""
5/29/2021,12:00:00,"","13.46","","7.31","","74","","0.0","","9.42","","0",""
5/29/2021,12:15:00,"","13.47","","7.27","","74","","0.0","","9.44","","0",""
